nodes,NR,NW,clients,read_s,write_s
3,1,3,1,0.09,0.1
3,1,3,2,0.09,0.11
3,1,3,3,0.09,0.1
3,1,3,4,0.09,0.11
3,1,3,5,0.1,0.14
3,1,3,6,0.1,0.11
3,1,3,7,0.1,0.12
3,1,3,8,0.1,0.13
3,1,3,9,0.1,0.13
3,1,3,10,0.11,0.13
3,2,2,1,0.09,0.1
3,2,2,2,0.09,0.1
3,2,2,3,0.1,0.1
3,2,2,4,0.1,0.1
3,2,2,5,0.1,0.11
3,2,2,6,0.12,0.11
3,2,2,7,0.11,0.11
3,2,2,8,0.11,0.12
3,2,2,9,0.11,0.12
3,2,2,10,0.12,0.13
3,2,3,1,0.09,0.1
3,2,3,2,0.09,0.1
3,2,3,3,0.1,0.11
3,2,3,4,0.1,0.11
3,2,3,5,0.1,0.11
3,2,3,6,0.1,0.12
3,2,3,7,0.1,0.12
3,2,3,8,0.1,0.12
3,2,3,9,0.11,0.13
3,2,3,10,0.11,0.13
3,3,2,1,0.1,0.1
3,3,2,2,0.1,0.1
3,3,2,3,0.1,0.1
3,3,2,4,0.1,0.11
3,3,2,5,0.11,0.11
3,3,2,6,0.11,0.11
3,3,2,7,0.1,0.11
3,3,2,8,0.12,0.11
3,3,2,9,0.11,0.11
3,3,2,10,0.12,0.12
3,3,3,1,0.09,0.11
3,3,3,2,0.09,0.11
3,3,3,3,0.09,0.1
3,3,3,4,0.1,0.11
3,3,3,5,0.1,0.11
3,3,3,6,0.11,0.12
3,3,3,7,0.11,0.12
3,3,3,8,0.11,0.14
3,3,3,9,0.11,0.12
3,3,3,10,0.12,0.14
4,1,4,1,0.09,0.11
4,1,4,2,0.09,0.11
4,1,4,3,0.09,0.11
4,1,4,4,0.09,0.12
4,1,4,5,0.1,0.12
4,1,4,6,0.1,0.12
4,1,4,7,0.1,0.12
4,1,4,8,0.1,0.13
4,1,4,9,0.11,0.15
4,1,4,10,0.11,0.13
4,2,3,1,0.09,0.11
4,2,3,2,0.1,0.11
4,2,3,3,0.1,0.11
4,2,3,4,0.1,0.11
4,2,3,5,0.1,0.11
4,2,3,6,0.1,0.12
4,2,3,7,0.11,0.12
4,2,3,8,0.11,0.12
4,2,3,9,0.12,0.12
4,2,3,10,0.11,0.12
4,2,4,1,0.1,0.12
4,2,4,2,0.1,0.11
4,2,4,3,0.1,0.11
4,2,4,4,0.1,0.12
4,2,4,5,0.1,0.12
4,2,4,6,0.1,0.12
4,2,4,7,0.1,0.12
4,2,4,8,0.11,0.13
4,2,4,9,0.1,0.16
4,2,4,10,0.11,0.14
4,3,3,1,0.09,0.1
4,3,3,2,0.1,0.11
4,3,3,3,0.1,0.11
4,3,3,4,0.1,0.11
4,3,3,5,0.11,0.11
4,3,3,6,0.1,0.12
4,3,3,7,0.11,0.12
4,3,3,8,0.13,0.12
4,3,3,9,0.11,0.12
4,3,3,10,0.11,0.13
4,3,4,1,0.09,0.11
4,3,4,2,0.09,0.11
4,3,4,3,0.1,0.11
4,3,4,4,0.1,0.12
4,3,4,5,0.1,0.12
4,3,4,6,0.1,0.12
4,3,4,7,0.11,0.14
4,3,4,8,0.11,0.13
4,3,4,9,0.11,0.15
4,3,4,10,0.11,0.13
4,4,3,1,0.09,0.11
4,4,3,2,0.09,0.11
