nodes,NR,NW,clients,read_s,write_s
7,1,7,3,0.1,1.14
7,1,7,4,0.11,1.62
7,1,7,5,0.12,1.93
7,1,7,6,0.12,2.31
7,1,7,7,0.13,2.73
7,1,7,8,0.14,3.16
7,1,7,9,0.14,3.4
7,1,7,10,0.14,4.09
7,2,6,3,0.1,1.03
7,2,6,4,0.11,1.37
7,2,6,5,0.17,1.69
7,2,6,6,0.18,1.99
7,2,6,7,0.13,2.58
7,2,6,8,0.13,2.9
7,2,6,9,0.19,2.97
7,2,6,10,0.14,3.32
7,2,7,3,0.11,1.18
7,2,7,4,0.11,1.56
7,2,7,5,0.12,2.0
7,2,7,6,0.13,2.35
7,2,7,7,0.13,3.14
7,2,7,8,0.14,3.37
7,2,7,9,0.15,4.11
7,2,7,10,0.15,4.37
7,3,5,3,0.17,0.99
7,3,5,4,0.24,1.44
7,3,5,5,0.18,1.43
7,3,5,6,0.22,1.87
7,3,5,7,0.27,2.62
7,3,5,8,0.26,2.77
7,3,5,9,0.25,3.15
7,3,5,10,0.34,3.58
7,3,6,3,0.11,1.05
7,3,6,4,0.18,1.37
7,3,6,5,0.18,1.77
7,3,6,6,0.13,1.99
7,3,6,7,0.14,2.37
7,3,6,8,0.2,2.84
7,3,6,9,0.26,3.86
7,3,6,10,0.21,3.88
7,3,7,3,0.11,1.52
7,3,7,4,0.12,1.62
7,3,7,5,0.12,2.04
7,3,7,6,0.12,2.64
7,3,7,7,0.14,3.57
7,3,7,8,0.15,3.6
7,3,7,9,0.15,3.82
7,3,7,10,0.15,4.02
7,4,4,3,0.17,0.74
7,4,4,4,0.18,1.01
7,4,4,5,0.25,1.24
7,4,4,6,0.19,1.3
7,4,4,7,0.29,1.75
7,4,4,8,0.3,1.99
7,4,4,9,0.32,2.24
7,4,4,10,0.29,3.07
7,4,5,3,0.11,0.91
7,4,5,4,0.19,1.49
7,4,5,5,0.26,1.71
7,4,5,6,0.25,1.86
7,4,5,7,0.24,2.32
7,4,5,8,0.27,2.69
7,4,5,9,0.22,2.52
7,4,5,10,0.28,3.34
7,4,6,3,0.11,1.08
7,4,6,4,0.12,1.8
7,4,6,5,0.19,2.41
7,4,6,6,0.18,2.3
7,4,6,7,0.14,2.79
7,4,6,8,0.22,3.23
7,4,6,9,0.2,3.49
7,4,6,10,0.2,3.9
7,4,7,3,0.11,1.27
7,4,7,4,0.12,1.89
7,4,7,5,0.12,2.08
7,4,7,6,0.13,2.75
7,4,7,7,0.14,2.93
7,4,7,8,0.15,3.31
7,4,7,9,0.15,3.87
7,4,7,10,0.16,4.89
7,5,4,3,0.24,0.75
7,5,4,4,0.18,1.24
7,5,4,5,0.26,1.26
7,5,4,6,0.2,1.72
7,5,4,7,0.43,2.4
7,5,4,8,0.33,2.22
7,5,4,9,0.29,1.99
7,5,4,10,0.28,2.81
7,5,5,3,0.11,0.99
7,5,5,4,0.18,1.27
7,5,5,5,0.19,1.56
7,5,5,6,0.25,1.85
7,5,5,7,0.21,2.28
7,5,5,8,0.27,2.51
7,5,5,9,0.27,2.82
7,5,5,10,0.21,3.06
7,5,6,3,0.18,1.1
7,5,6,4,0.12,1.99
7,5,6,5,0.2,1.85
7,5,6,6,0.18,2.38
7,5,6,7,0.2,2.39
7,5,6,8,0.21,3.16
7,5,6,9,0.2,3.25
7,5,6,10,0.23,4.07
7,5,7,3,0.11,1.28
7,5,7,4,0.12,1.72
7,5,7,5,0.13,2.17
7,5,7,6,0.13,2.75
7,5,7,7,0.14,3.33
7,5,7,8,0.15,3.54
7,5,7,9,0.15,3.87
7,5,7,10,0.15,4.39
7,6,4,3,0.12,0.72
7,6,4,4,0.12,1.06
7,6,4,5,0.2,1.35
7,6,4,6,0.25,1.39
7,6,4,7,0.32,1.89
7,6,4,8,0.32,1.96
7,6,4,9,0.35,2.42
7,6,4,10,0.27,2.71
7,6,5,3,0.16,0.88
7,6,5,4,0.19,1.23
7,6,5,5,0.2,2.05
7,6,5,6,0.14,1.84
7,6,5,7,0.2,2.48
7,6,5,8,0.28,3.32
7,6,5,9,0.28,2.62
7,6,5,10,0.28,3.37
7,6,6,3,0.11,1.12
7,6,6,4,0.19,2.05
7,6,6,5,0.13,1.87
7,6,6,6,0.22,2.42
7,6,6,7,0.2,2.51
7,6,6,8,0.2,3.39
7,6,6,9,0.21,3.43
7,6,6,10,0.23,3.96
7,6,7,3,0.11,1.24
7,6,7,4,0.13,2.31
7,6,7,5,0.13,3.43
7,6,7,6,0.14,2.86
7,6,7,7,0.14,3.34
7,6,7,8,0.15,3.6
7,6,7,9,0.16,4.05
7,6,7,10,0.16,4.71
7,7,4,3,0.16,0.71
7,7,4,4,0.18,1.15
7,7,4,5,0.27,1.74
7,7,4,6,0.26,1.44
7,7,4,7,0.34,2.12
7,7,4,8,0.33,2.2
7,7,4,9,0.48,2.26
7,7,4,10,0.3,2.57
7,7,5,3,0.11,1.14
7,7,5,4,0.18,1.32
7,7,5,5,0.18,1.87
7,7,5,6,0.22,1.95
7,7,5,7,0.3,3.48
7,7,5,8,0.2,2.69
7,7,5,9,0.32,2.87
7,7,5,10,0.32,3.31
7,7,6,3,0.18,1.2
7,7,6,4,0.13,1.7
7,7,6,5,0.13,1.87
7,7,6,6,0.2,2.63
7,7,6,7,0.21,2.43
7,7,6,8,0.16,3.09
7,7,6,9,0.23,3.47
7,7,6,10,0.24,4.0
7,7,7,3,0.11,1.26
7,7,7,4,0.12,2.03
7,7,7,5,0.13,2.14
7,7,7,6,0.13,2.48
7,7,7,7,0.14,3.24
7,7,7,8,0.14,3.71
7,7,7,9,0.15,3.98
7,7,7,10,0.16,4.5
8,1,8,3,0.11,1.4
8,1,8,4,0.11,2.12
8,1,8,5,0.12,2.27
8,1,8,6,0.12,3.2
8,1,8,7,0.13,3.55
8,1,8,8,0.13,3.93
8,1,8,9,0.14,5.03
8,1,8,10,0.14,5.76
8,2,7,3,0.15,1.75
8,2,7,4,0.11,1.78
8,2,7,5,0.18,2.92
8,2,7,6,0.19,2.61
8,2,7,7,0.41,3.18
8,2,7,8,0.19,3.71
8,2,7,9,0.41,4.25
8,2,7,10,0.21,4.52
8,2,8,3,0.1,1.53
8,2,8,4,0.11,2.71
8,2,8,5,0.12,2.45
8,2,8,6,0.12,3.33
8,2,8,7,0.13,3.9
8,2,8,8,0.14,4.37
8,2,8,9,0.14,4.54
8,2,8,10,0.14,5.18
8,3,6,3,0.11,1.17
8,3,6,4,0.12,1.38
8,3,6,5,0.19,2.17
8,3,6,6,0.24,2.41
8,3,6,7,0.27,2.57
8,3,6,8,0.25,3.11
8,3,6,9,0.27,3.6
8,3,6,10,0.29,4.19
8,3,7,3,0.16,1.24
8,3,7,4,0.11,2.19
8,3,7,5,0.16,2.95
8,3,7,6,0.18,2.57
8,3,7,7,0.18,3.05
8,3,7,8,0.2,4.68
8,3,7,9,0.19,4.12
8,3,7,10,0.44,4.65
8,3,8,3,0.11,1.95
8,3,8,4,0.11,1.96
8,3,8,5,0.11,2.73
8,3,8,6,0.13,3.15
8,3,8,7,0.13,3.37
8,3,8,8,0.14,3.73
8,3,8,9,0.14,4.1
8,3,8,10,0.15,4.36
8,4,5,3,0.1,0.83
8,4,5,4,0.19,1.32
8,4,5,5,0.18,1.56
8,4,5,6,0.18,1.72
8,4,5,7,0.22,2.01
8,4,5,8,0.23,2.23
8,4,5,9,0.25,2.48
8,4,5,10,0.25,3.06
8,4,6,3,0.16,1.09
8,4,6,4,0.12,1.66
8,4,6,5,0.19,1.79
8,4,6,6,0.18,2.37
8,4,6,7,0.24,2.42
8,4,6,8,0.19,2.86
8,4,6,9,0.24,3.04
8,4,6,10,0.23,3.31
8,4,7,3,0.11,1.28
8,4,7,4,0.12,1.57
8,4,7,5,0.12,2.35
8,4,7,6,0.18,2.42
8,4,7,7,0.13,2.77
8,4,7,8,0.2,3.31
8,4,7,9,0.21,3.72
8,4,7,10,0.2,4.01
8,4,8,3,0.11,1.46
8,4,8,4,0.12,1.8
8,4,8,5,0.12,2.31
8,4,8,6,0.12,2.67
8,4,8,7,0.13,3.3
8,4,8,8,0.14,4.0
8,4,8,9,0.13,4.15
8,4,8,10,0.14,4.33
8,5,5,3,0.16,0.86
8,5,5,4,0.17,1.31
8,5,5,5,0.25,1.59
8,5,5,6,0.25,1.93
8,5,5,7,0.29,1.95
8,5,5,8,0.25,2.28
8,5,5,9,0.27,2.73
8,5,5,10,0.28,3.08
8,5,6,3,0.17,1.03
8,5,6,4,0.11,1.54
8,5,6,5,0.17,1.67
8,5,6,6,0.13,2.29
8,5,6,7,0.23,2.43
8,5,6,8,0.24,2.68
8,5,6,9,0.19,3.35
8,5,6,10,0.26,3.48
8,5,7,3,0.1,1.3
8,5,7,4,0.12,1.66
8,5,7,5,0.12,2.05
8,5,7,6,0.19,2.29
8,5,7,7,0.14,2.85
8,5,7,8,0.18,3.25
8,5,7,9,0.19,3.44
8,5,7,10,0.21,4.07
8,5,8,3,0.11,1.37
8,5,8,4,0.12,1.91
8,5,8,5,0.12,2.28
8,5,8,6,0.13,2.81
8,5,8,7,0.14,3.19
8,5,8,8,0.14,3.81
8,5,8,9,0.14,4.08
8,5,8,10,0.16,4.51
8,6,5,3,0.16,0.85
8,6,5,4,0.18,1.15
8,6,5,5,0.18,1.61
8,6,5,6,0.25,1.81
8,6,5,7,0.24,1.85
8,6,5,8,0.32,3.4
8,6,5,9,0.35,3.92
8,6,5,10,0.34,3.43
8,6,6,3,0.17,1.05
8,6,6,4,0.18,1.55
8,6,6,5,0.12,1.83
8,6,6,6,0.19,2.16
8,6,6,7,0.2,2.46
8,6,6,8,0.25,2.92
8,6,6,9,0.24,2.99
8,6,6,10,0.27,3.36
8,6,7,3,0.11,1.22
8,6,7,4,0.12,1.68
8,6,7,5,0.18,1.98
8,6,7,6,0.2,2.47
8,6,7,7,0.2,2.77
8,6,7,8,0.14,3.28
8,6,7,9,0.21,3.84
8,6,7,10,0.2,4.0
8,6,8,3,0.11,1.43
8,6,8,4,0.12,1.81
8,6,8,5,0.12,2.28
8,6,8,6,0.14,2.69
8,6,8,7,0.14,3.53
8,6,8,8,0.14,4.21
8,6,8,9,0.15,4.81
8,6,8,10,0.15,5.43
8,7,5,3,0.22,0.85
8,7,5,4,0.12,1.35
8,7,5,5,0.23,1.45
8,7,5,6,0.23,1.73
8,7,5,7,0.28,2.03
8,7,5,8,0.27,2.24
8,7,5,9,0.25,2.46
8,7,5,10,0.32,3.04
8,7,6,3,0.11,0.99
8,7,6,4,0.18,1.4
8,7,6,5,0.18,1.73
8,7,6,6,0.19,2.04
8,7,6,7,0.2,2.41
8,7,6,8,0.27,2.81
8,7,6,9,0.25,3.29
8,7,6,10,0.26,3.75
8,7,7,3,0.17,1.41
8,7,7,4,0.18,1.62
8,7,7,5,0.17,2.06
8,7,7,6,0.13,2.35
8,7,7,7,0.2,2.76
8,7,7,8,0.2,3.38
8,7,7,9,0.2,3.59
8,7,7,10,0.21,3.89
8,7,8,3,0.11,1.48
8,7,8,4,0.12,1.83
8,7,8,5,0.12,2.37
8,7,8,6,0.13,2.75
8,7,8,7,0.14,3.29
8,7,8,8,0.14,3.61
8,7,8,9,0.15,4.06
8,7,8,10,0.15,4.38
8,8,5,3,0.11,0.95
8,8,5,4,0.12,1.12
8,8,5,5,0.19,1.55
8,8,5,6,0.26,1.77
8,8,5,7,0.31,1.87
8,8,5,8,0.28,2.5
8,8,5,9,0.33,2.57
8,8,5,10,0.26,2.8
8,8,6,3,0.12,1.17
8,8,6,4,0.25,1.36
8,8,6,5,0.18,1.78
8,8,6,6,0.24,2.19
8,8,6,7,0.26,2.44
8,8,6,8,0.26,2.71
8,8,6,9,0.3,3.07
8,8,6,10,0.23,3.43
8,8,7,3,0.11,1.23
8,8,7,4,0.12,1.81
8,8,7,5,0.13,1.93
8,8,7,6,0.14,2.38
8,8,7,7,0.15,2.74
8,8,7,8,0.22,3.47
8,8,7,9,0.22,3.65
8,8,7,10,0.2,3.87
8,8,8,3,0.11,1.53
8,8,8,4,0.12,1.79
